,Economy (GDP per Capita),Generosity,Country,Happiness Rank,Health (Life Expectancy),year,Happiness Score,Trust (Government Corruption),Freedom,Continent
77,0.945,0.263,Bosnia and Herzegovina,78,0.845,2019,5.386,0.006,0.212,Europe
92,0.915,0.21600000000000003,Bosnia and Herzegovina,93,0.758,2018,5.129,0.0,0.28,Europe
68,0.91839546,0.264005244,Bosnia and Herzegovina,69,0.813928187,2020,5.674099922000001,0.001172487,0.305365741,Europe
95,0.8322299999999999,0.24808000000000002,Bosnia and Herzegovina,96,0.79081,2015,4.949,0.00227,0.09245,Europe
136,1.09426,0.12425,Botswana,137,0.34752,2016,3.9739999999999998,0.10769000000000001,0.44088999999999995,Africa
146,0.997548997,0.033407487,Botswana,147,0.494101733,2020,3.4788999560000002,0.101786368,0.50908941,Africa
141,1.12209415435791,0.0993484482169151,Botswana,142,0.34175550937652605,2017,3.7660000324249303,0.0985831990838051,0.505196332931519,Africa
147,1.041,0.025,Botswana,148,0.5379999999999999,2019,3.488,0.1,0.455,Africa
127,0.99355,0.10461,Botswana,128,0.047760000000000004,2015,4.332,0.12474,0.49495,Africa
145,1.0170000000000001,0.042,Botswana,146,0.41700000000000004,2018,3.59,0.092,0.557,Africa
31,1.004,0.099,Brazil,32,0.802,2019,6.3,0.086,0.39,South America
27,0.986,0.11,Brazil,28,0.675,2018,6.419,0.08800000000000001,0.493,South America
21,1.1073532104492199,0.16234989464282998,Brazil,22,0.6165523529052729,2017,6.6350002288818395,0.11109276115894301,0.437453746795654,South America
15,0.98124,0.14574,Brazil,16,0.69702,2015,6.983,0.17521,0.49049,South America
16,1.08754,0.15775999999999998,Brazil,17,0.61415,2016,6.952000000000001,0.14165999999999998,0.40425,South America
31,0.952679873,0.131674588,Brazil,32,0.766119063,2020,6.375599861,0.106518604,0.483292729,South America
95,1.046554685,0.10383371300000001,Bulgaria,96,0.7777768970000001,2020,5.101500034,0.0,0.417820066,Europe
96,1.092,0.081,Bulgaria,97,0.815,2019,5.011,0.004,0.311,Europe
99,1.054,0.064,Bulgaria,100,0.7120000000000001,2018,4.933,0.009000000000000001,0.359,Europe
133,1.01216,0.11921,Bulgaria,134,0.76649,2015,4.218,0.00872,0.30587,Europe
128,1.11306,0.12793,Bulgaria,129,0.67806,2016,4.217,0.00615,0.21219000000000002,Europe
104,1.1614590883255,0.113177694380283,Bulgaria,105,0.708217680454254,2017,4.71400022506714,0.0110515309497714,0.28923171758651695,Europe
144,0.31995,0.24353000000000002,Burkina Faso,145,0.21297,2016,3.739,0.12533,0.3337,Africa
111,0.302467644,0.18639060899999998,Burkina Faso,112,0.312833875,2020,4.768700123,0.126408055,0.322398156,Africa
114,0.331,0.177,Burkina Faso,115,0.38,2019,4.587,0.113,0.255,Africa
151,0.25811999999999996,0.21746999999999997,Burkina Faso,152,0.27125,2015,3.5869999999999997,0.12832000000000002,0.39493,Africa
133,0.35022771358490007,0.250864684581757,Burkina Faso,134,0.21584425866603896,2017,4.03200006484985,0.12032810598611803,0.32436785101890603,Africa
120,0.314,0.175,Burkina Faso,121,0.254,2018,4.4239999999999995,0.128,0.312,Africa
139,0.0,0.18740178600000001,Burundi,140,0.295212835,2020,3.775300026,0.212186828,0.275399059,Africa
156,0.06831,0.2029,Burundi,157,0.15747,2016,2.905,0.09419,0.0432,Africa
153,0.09162256866693501,0.20443518459796897,Burundi,154,0.151610791683197,2017,2.90499997138977,0.0841479450464249,0.0599007532000542,Africa
155,0.091,0.149,Burundi,156,0.145,2018,2.905,0.076,0.065,Africa
144,0.046,0.17600000000000002,Burundi,145,0.38,2019,3.775,0.18,0.22,Africa
156,0.0153,0.19727,Burundi,157,0.22396,2015,2.905,0.10062,0.1185,Africa
139,0.55604,0.40339,Cambodia,140,0.42494,2016,3.907,0.08092,0.5885199999999999,Asia
119,0.5489999999999999,0.256,Cambodia,120,0.457,2018,4.433,0.065,0.696,Asia
144,0.46038,0.40359,Cambodia,145,0.61114,2015,3.819,0.07247,0.66246,Asia
108,0.574,0.23199999999999998,Cambodia,109,0.637,2019,4.7,0.062,0.609,Asia
105,0.544634938,0.233342081,Cambodia,106,0.587904334,2020,4.8484001160000005,0.072837502,0.674940348,Asia
128,0.6017650961875921,0.385922968387604,Cambodia,129,0.429783403873444,2017,4.1680002212524405,0.0681059509515762,0.633375823497772,Asia
95,0.5489999999999999,0.187,Cameroon,96,0.331,2019,5.044,0.037000000000000005,0.381,Africa
98,0.535,0.183,Cameroon,99,0.182,2018,4.975,0.043,0.45399999999999996,Africa
132,0.4225,0.20618000000000003,Cameroon,133,0.23401999999999998,2015,4.252,0.05786,0.49309,Africa
106,0.564305365085602,0.23629845678806302,Cameroon,107,0.132892116904259,2017,4.69500017166138,0.0513066314160824,0.430388748645782,Africa
113,0.5249699999999999,0.2268,Cameroon,114,0.12697999999999998,2016,4.513,0.06126,0.42736,Africa
97,0.503958046,0.198020101,Cameroon,98,0.270189553,2020,5.084899902,0.054393422000000004,0.43924248200000005,Africa
5,1.44015,0.44833999999999996,Canada,6,0.8276,2016,7.404,0.31329,0.5737,North America
6,1.47920441627502,0.435539722442627,Canada,7,0.83455765247345,2017,7.31599998474121,0.287371516227722,0.611100912094116,North America
6,1.33,0.321,Canada,7,0.8959999999999999,2018,7.327999999999999,0.29100000000000004,0.653,North America
10,1.301647663,0.28152892,Canada,11,1.022501945,2020,7.23210001,0.35170185600000003,0.644028127,North America
8,1.365,0.285,Canada,9,1.0390000000000001,2019,7.278,0.308,0.584,North America
4,1.32629,0.45811,Canada,5,0.9056299999999999,2015,7.4270000000000005,0.32957,0.63297,North America
147,0.0785,0.23835,Central African Republic,148,0.06699,2015,3.678,0.08288999999999999,0.48878999999999995,Africa
154,0.026000000000000002,0.235,Central African Republic,155,0.105,2019,3.083,0.035,0.225,Africa
154,0.0,0.280876487493515,Central African Republic,155,0.0187726859003305,2017,2.69300007820129,0.0565650761127472,0.270842045545578,Africa
154,0.024,0.218,Central African Republic,155,0.01,2018,3.083,0.038,0.305,Africa
148,0.041072082,0.253513217,Central African Republic,149,0.0,2020,3.475899935,0.028264717999999998,0.292814463,Africa
130,0.358,0.18100000000000002,Chad,131,0.053,2018,4.301,0.06,0.18899999999999997,Africa
126,0.30228748899999996,0.210805088,Chad,127,0.1087441,2020,4.422699928,0.085755408,0.22860176899999998,Africa
131,0.35,0.198,Chad,132,0.192,2019,4.35,0.078,0.174,Africa
136,0.43801298737525896,0.21611385047435802,Chad,137,0.0411347150802612,2017,3.9360001087188703,0.0535818822681904,0.16234202682972002,Africa
143,0.42213999999999996,0.18667,Chad,144,0.038239999999999996,2016,3.763,0.04952,0.12807000000000002,Africa
148,0.34193,0.18386,Chad,149,0.1501,2015,3.667,0.05269,0.23501,Africa
19,1.25278460979462,0.3266624212265011,Chile,20,0.8194797039031979,2017,6.65199995040894,0.0822879821062088,0.376895278692245,South America
26,1.10715,0.33363000000000004,Chile,27,0.85857,2015,6.67,0.12869,0.44132,South America
