,Health (Life Expectancy),year,Happiness Rank,Generosity,Freedom,Happiness Score,Trust (Government Corruption),Economy (GDP per Capita),Country,Continent
122,0.83455765247345,2017,7,0.435539722442627,0.611100912094116,7.31599998474121,0.287371516227722,1.47920441627502,Canada,North America
123,0.8276,2016,6,0.44834,0.5737,7.404,0.31329,1.44015,Canada,North America
124,1.039,2019,9,0.285,0.584,7.278,0.308,1.365,Canada,North America
125,0.8959999999999999,2018,7,0.321,0.653,7.3279999999999985,0.29100000000000004,1.33,Canada,North America
126,0.90563,2015,5,0.45811,0.63297,7.427,0.32957,1.32629,Canada,North America
127,0.105,2019,155,0.235,0.225,3.083,0.035,0.026,Central African Republic,Africa
128,0.06699,2015,148,0.23835,0.48879,3.678,0.08288999999999999,0.0785,Central African Republic,Africa
129,0.01,2018,155,0.218,0.305,3.083,0.038,0.024,Central African Republic,Africa
130,0.0187726859003305,2017,155,0.280876487493515,0.270842045545578,2.69300007820129,0.0565650761127472,0.0,Central African Republic,Africa
131,0.053,2018,131,0.181,0.189,4.301,0.06,0.358,Chad,Africa
132,0.192,2019,132,0.198,0.174,4.35,0.078,0.35,Chad,Africa
133,0.0411347150802612,2017,137,0.216113850474358,0.16234202682972002,3.9360001087188703,0.0535818822681904,0.43801298737525896,Chad,Africa
134,0.1501,2015,149,0.18386,0.23501,3.667,0.05269,0.34193,Chad,Africa
135,0.03824,2016,144,0.18667,0.12807000000000002,3.763,0.04952,0.42214,Chad,Africa
136,0.8188300000000001,2016,24,0.31595,0.37789,6.705,0.11451,1.2167,Chile,South America
137,0.8079999999999999,2018,25,0.197,0.431,6.476,0.061,1.131,Chile,South America
138,0.8194797039031979,2017,20,0.3266624212265011,0.376895278692245,6.65199995040894,0.0822879821062088,1.25278460979462,Chile,South America
139,0.92,2019,26,0.187,0.35700000000000004,6.444,0.056,1.159,Chile,South America
140,0.85857,2015,27,0.33363000000000004,0.44132,6.67,0.12869,1.10715,Chile,South America
141,0.73561,2016,83,0.04959,0.44012,5.245,0.02745,1.0278,China,Asia
142,0.81658,2015,84,0.08185,0.5169699999999999,5.14,0.02781,0.89012,China,Asia
143,0.741415500640869,2017,79,0.0288068410009146,0.472787708044052,5.2729997634887695,0.0227942746132612,1.08116579055786,China,Asia
144,0.893,2019,93,0.058,0.521,5.191,0.1,1.029,China,Asia
145,0.799,2018,86,0.029,0.597,5.246,0.103,0.989,China,Asia
146,0.595027923583984,2017,36,0.14901447296142598,0.477487415075302,6.35699987411499,0.0466687418520451,1.07062232494354,Colombia,South America
147,0.635,2018,37,0.099,0.531,6.26,0.039,0.96,Colombia,South America
148,0.59659,2016,31,0.15625999999999998,0.44735,6.481,0.05399,1.03032,Colombia,South America
149,0.69077,2015,33,0.18401,0.53466,6.477,0.0512,0.91861,Colombia,South America
150,0.841,2019,43,0.099,0.47,6.125,0.034,0.985,Colombia,South America
151,0.29981,2016,138,0.1827,0.15412,3.956,0.18437,0.27509,Comoros,Africa
152,0.36315,2015,140,0.17440999999999998,0.22917,3.956,0.199,0.23906,Comoros,Africa
153,0.505,2019,142,0.275,0.142,3.973,0.078,0.274,Comoros,Africa
154,0.508,2019,103,0.105,0.3720000000000001,4.812,0.093,0.6729999999999999,Congo (Brazzaville),Africa
155,0.31051,2015,139,0.12388,0.41466,3.989,0.11686,0.67866,Congo (Brazzaville),Africa
156,0.28212,2016,127,0.12077,0.37938,4.2360000000000015,0.09753,0.7710899999999999,Congo (Brazzaville),Africa
157,0.343,2018,114,0.091,0.514,4.559,0.077,0.682,Congo (Brazzaville),Africa
158,0.28995743393898,2017,124,0.12085212767124197,0.4350258708000179,4.29099988937378,0.0796181336045265,0.8089642524719242,Congo (Brazzaville),Africa
159,0.191407024860382,2017,126,0.246455833315849,0.235961347818375,4.280000209808351,0.0602413564920425,0.0921023488044739,Congo (Kinshasa),Africa
160,0.188,2016,125,0.25458000000000003,0.15602,4.272,0.06075,0.05661,Congo (Kinshasa),Africa
161,0.204,2018,132,0.197,0.312,4.245,0.052000000000000005,0.069,Congo (Kinshasa),Africa
162,0.35700000000000004,2019,127,0.212,0.269,4.418,0.053,0.094,Congo (Kinshasa),Africa
163,0.09806,2015,120,0.24834,0.22605,4.517,0.07625,0.0,Congo (Kinshasa),Africa
164,0.76146,2016,14,0.22553,0.55225,7.0870000000000015,0.10547,1.06879,Costa Rica,North America
165,0.8602700000000001,2015,12,0.25497,0.63376,7.226,0.10583,0.95578,Costa Rica,North America
166,0.963,2019,12,0.14400000000000002,0.5579999999999999,7.167000000000002,0.093,1.034,Costa Rica,North America
167,0.8170000000000001,2018,13,0.14300000000000002,0.632,7.072,0.101,1.01,Costa Rica,North America
168,0.7595092654228209,2017,12,0.21461322903633104,0.580131649971008,7.0789999961853,0.100106589496136,1.10970628261566,Costa Rica,North America
169,0.914,2019,75,0.119,0.29600000000000004,5.432,0.022,1.155,Croatia,Europe
170,0.737,2018,82,0.12,0.38,5.3210000000000015,0.039,1.115,Croatia,Europe
171,0.70524,2016,74,0.18434,0.23907,5.488,0.04002,1.18649,Croatia,Europe
172,0.701288521289825,2017,77,0.248002976179123,0.255772292613983,5.2930002212524405,0.0431031100451946,1.22255623340607,Croatia,Europe
173,0.78805,2015,62,0.05444,0.25883,5.759,0.0243,1.08254,Croatia,Europe
174,0.92356,2015,67,0.30638000000000004,0.40672,5.689,0.06146,1.20813,Cyprus,Europe
175,0.84471470117569,2017,65,0.271254301071167,0.35511153936386103,5.62099981307983,0.0412379764020443,1.35593807697296,Cyprus,Europe
176,0.909,2018,61,0.202,0.423,5.7620000000000005,0.035,1.229,Cyprus,Europe
177,1.042,2019,49,0.19,0.406,6.046,0.041,1.263,Cyprus,Europe
178,0.8488,2016,69,0.27906,0.29507,5.546,0.052279999999999986,1.31857,Cyprus,Europe
179,0.92,2019,20,0.046,0.457,6.852,0.036000000000000004,1.269,Czech Republic,Europe
180,0.76376,2016,27,0.09929,0.41418,6.596,0.03986,1.30915,Czech Republic,Europe
181,0.8540000000000001,2018,21,0.064,0.5429999999999999,6.711,0.034,1.233,Czech Republic,Europe
182,0.84483,2015,31,0.10686,0.46364,6.505,0.02652,1.17898,Czech Republic,Europe
183,0.754444003105164,2017,23,0.0881067588925362,0.490946173667908,6.60900020599365,0.0368729270994663,1.35268235206604,Czech Republic,Europe
184,0.87464,2015,3,0.34139,0.6493800000000001,7.527,0.48357,1.32548,Denmark,Europe
185,0.868,2018,3,0.284,0.6829999999999999,7.555,0.408,1.351,Denmark,Europe
